star_id,planet_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,snr,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag
7762886,K08144.01,FALSE POSITIVE,315.81065,23.66,541.6,1.82,212.0,0.47,11.6,4875.0,4.514,0.81,295.03894,43.477329,15.374
7747835,K08143.01,FALSE POSITIVE,373.74691,28.37,622.3,2.65,260.0,1.08,16.2,6131.0,4.497,0.945,290.02124,43.402161,15.193
7690521,K08142.01,FALSE POSITIVE,380.294204,12.351,730.5,2.27,229.0,0.65,15.0,5518.0,4.473,0.822,294.42719,43.38464,14.945
7686191,K08141.01,FALSE POSITIVE,380.03903,18.5,788.8,2.36,219.0,0.55,13.2,5477.0,4.568,0.818,293.03891,43.384048,15.198
7662744,K08140.01,FALSE POSITIVE,135.428746,7.394,381.1,1.83,343.0,3.29,7.9,5849.0,4.517,0.919,283.11157,43.346771,15.445
7622473,K08139.01,FALSE POSITIVE,40.244826,4.303,192.9,115.94,3302.0,28103.18,16.8,3674.0,0.452,89.878,296.01974,43.23439,12.314
7340624,K08138.01,FALSE POSITIVE,369.28177,26.96,1017.7,34.25,250.0,0.93,13.0,5900.0,4.509,0.951,283.32138,42.939289,15.478
7282872,K08137.01,FALSE POSITIVE,402.41511,5.156,780.6,2.52,253.0,0.96,9.5,6251.0,4.53,0.889,292.04956,42.870251,12.987
7185710,K08136.01,FALSE POSITIVE,160.243128,5.393,556.4,15.72,686.0,52.5,10.2,5128.0,3.091,6.775,286.72119,42.778511,14.859
7117050,K08135.01,FALSE POSITIVE,73.836858,19.722,231.2,25.09,1143.0,403.37,13.1,4769.0,2.583,14.706,291.55719,42.694649,10.996
7106437,K08134.01,FALSE POSITIVE,212.760495,3.703,195.8,2.8,485.0,13.13,9.2,7021.0,4.031,1.976,288.08237,42.636909,12.946
7053328,K08133.01,FALSE POSITIVE,455.77076435,5.1149,341.1,5.34,419.0,7.28,11.6,6785.0,3.788,2.623,297.0069,42.597229,12.389
7049771,K08132.01,FALSE POSITIVE,381.85852,16.121,362.9,8.3,453.0,9.93,16.0,4959.0,3.155,4.486,296.18787,42.57666,12.883
7020168,K08131.01,FALSE POSITIVE,203.8406,9.33,227.4,2.41,385.0,5.21,8.6,5548.0,3.97,1.616,287.24051,42.573139,13.499
6953281,K08130.01,FALSE POSITIVE,0.566799395,1.5368,231.2,1.65,2448.0,8550.93,33.7,6322.0,4.426,1.075,293.26727,42.42807,15.557
6887321,K08129.01,FALSE POSITIVE,1.65746034,4.572,22.9,0.54,1663.0,1808.13,9.1,5860.0,4.326,1.13,297.92798,42.310829,13.869
6848529,K08128.01,FALSE POSITIVE,197.37704,18.71,226.2,84.37,815.0,104.45,15.1,10974.0,4.041,2.677,286.91888,42.306129,10.734
6846544,K08127.01,FALSE POSITIVE,499.88159,13.39,184.4,2.61,338.0,3.07,12.4,6486.0,3.992,1.812,286.08136,42.30574,12.968
6685403,K08126.01,FALSE POSITIVE,429.60143,18.11,1001.4,2.74,223.0,0.58,12.2,5587.0,4.502,0.877,289.96942,42.138859,15.596
6600492,K08125.01,FALSE POSITIVE,312.61007,14.85,438.7,2.01,258.0,1.05,11.9,5818.0,4.523,0.925,290.08203,42.071129,14.728
6521526,K08124.01,FALSE POSITIVE,103.039788,14.197,1370.0,2.05,210.0,0.46,15.9,3749.0,4.674,0.581,291.52393,41.94294,15.084
6516529,K08123.01,FALSE POSITIVE,379.42818,11.24,403.9,1.89,252.0,0.95,11.1,5947.0,4.487,0.945,289.98419,41.918591,13.782
6507334,K08122.01,CANDIDATE,54.753883835,2.0865,442.3,2.21,521.0,17.47,0.9,6242.0,4.442,1.047,286.47037,41.994789,14.84
6451125,K08121.01,FALSE POSITIVE,72.6549842,5.503,389.3,34.52,699.0,56.33,22.1,6793.0,3.926,1.96,294.42145,41.8969,13.492
6286633,K08120.01,FALSE POSITIVE,366.28999,10.869,2568.0,68.39,666.0,46.47,11.9,5083.0,2.708,12.868,292.32611,41.671761,10.664
6230649,K08119.01,FALSE POSITIVE,443.66,7.99,360.7,33.2,331.0,2.85,6.3,6743.0,4.144,1.433,298.46213,41.5256,11.765
6119605,K08118.01,FALSE POSITIVE,260.02265,12.009,2060.7,3.13,217.0,0.53,25.7,5250.0,4.684,0.608,290.51993,41.46513,14.288
6114140,K08117.01,CANDIDATE,0.933745798,6.447,613.8,3.45,2097.0,4570.22,75.3,6367.0,4.419,1.087,288.7709,41.412571,15.485
6105359,K08116.01,FALSE POSITIVE,235.544698,8.93,299.3,2.13,316.0,2.36,9.2,5533.0,4.244,1.255,284.93216,41.45401,14.489
