planet_id,star_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag,stellar_dist,disposition_aligned
7170.01,63100069,PC,1.917096,1.0402081,4017.0792074,3.5741192,747.7884464,73.898565,3653.0,4.71723,0.523126,117.974778,21.339953,12.8317,106.54,CANDIDATE
7171.01,420191136,PC,23.5367004,5.715,443.0,3.3862,989.0,158.942,7487.0,4.22,1.69,338.015396,49.15674,8.98453,218.03,CANDIDATE
7172.01,302173245,PC,2.7547949,2.2653165,1434.2026954,3.7424744,1235.7366017,551.092681,5531.0,4.44591,0.977544,8.73548,17.056391,11.5702,254.558,CANDIDATE
7173.01,268727719,FP,0.6257352,0.8361985,13403.1636987,9.1590642,1155.1130109,420.7449426,3718.0,4.6571,0.593043,347.956369,65.229824,13.3892,161.939,FALSE POSITIVE
7174.01,25472026,PC,4.2422767,2.8605497,4728.4740947,14.4051573,1630.9939837,1672.3625665,6223.0,3.94893,1.92379,351.681768,50.052375,11.6951,624.168,CANDIDATE
7175.01,26999884,PC,2.9944941,3.621007,2479.3671334,15.498003,2594.393374,10706.9138368,7465.0,3.71,3.0202899,356.316355,53.750777,9.54026,465.072,CANDIDATE
7176.01,44161614,PC,,4.281,15884.0,10.7825,495.0,10.0394,4122.8,4.4,0.84,345.349833,32.949691,10.4361,69.3535,CANDIDATE
7177.01,51768374,PC,6.8434236,3.179,767.0,2.93142,1183.0,325.891,6060.0,4.38,1.14,337.663459,12.556345,9.94212,165.19,CANDIDATE
7178.01,419877797,PC,5.2169076,2.299,334.0,2.0097,1037.0,192.44,5966.0,4.39,1.1,337.653386,11.892662,8.3898,78.2804,CANDIDATE
7179.01,196201652,PC,2.7384363,3.018,871.0,10.4314,1348.0,549.707,4964.0,,3.56,311.011623,45.835325,10.3065,402.817,CANDIDATE
718.01,150247134,FA,12.8650769,3.979,1070.0,1.90058,703.0,40.6428,5031.0,,0.81,94.167445,-62.648403,11.4845,726.88,FALSE POSITIVE
7180.01,314992600,PC,3.2607791,3.152,574.0,3.18123,1556.0,973.545,5975.0,4.19,1.39,336.652468,21.460785,10.3767,244.502,CANDIDATE
7181.01,419878733,PC,5.1794403,4.628,796.0,5.8283,1469.0,773.896,5946.0,3.78,2.21,337.67535,9.158174,10.3618,355.502,CANDIDATE
7182.01,408469564,PC,14.7126653,3.56,305.0,2.08605,818.0,74.4061,6156.0,4.25,1.34,359.262122,9.784659,8.1891,91.8327,CANDIDATE
7183.01,422159302,PC,10.5739387,3.484,493.0,4.60829,,590.803,9088.0,,2.3,335.623102,58.083092,9.504,320.872,CANDIDATE
7184.01,426956677,PC,1.1976555,1.257,303.0,1.53572,1535.0,922.814,5598.9,4.52,0.91,2.494564,18.77383,9.70916,105.18,CANDIDATE
7185.01,77490011,PC,2.6881318,0.9223764,22717.9494983,3.537073,463.3111771,10.8896046,3244.0,5.01029,0.232947,42.823804,30.281303,14.1398,59.6029,CANDIDATE
7186.01,124895104,PC,1.7024504,2.913,8210.0,16.0263,1970.0,2502.63,6026.0,3.88,2.0,288.686,-11.382517,12.4401,756.615,CANDIDATE
7187.01,350064389,PC,2.1570981,1.688,8963.0,,,,,,,283.864186,18.964689,13.38,711.451,CANDIDATE
7188.01,317849098,PC,4.773664,3.987,9489.0,,,,,,,275.009695,11.21051,12.2275,640.184,CANDIDATE
